Geography Code,LGD2014_nm,Area_ha,Perim_km,Geography,All usual residents,"Area (hectares)
[note 1, 2]",Population density (number of usual residents per hectare)
N20000046,Antrim and Newtownabbey,10.36,1.47,Antrim_D2,570,10.36,55.03254998411566
N20000047,Antrim and Newtownabbey,46.89,3.39,Antrim_D3,516,46.89,11.003478108453068
N20000048,Antrim and Newtownabbey,20.56,2.01,Antrim_C4,562,20.56,27.33470741027124
N20000049,Antrim and Newtownabbey,15.67,1.76,Antrim_G1,554,15.67,35.3544727511188
N20000050,Antrim and Newtownabbey,11.47,1.56,Antrim_E1,425,11.47,37.06781621020121
N20000051,Antrim and Newtownabbey,28.18,2.53,Antrim_F1,493,28.18,17.49466880539468
N20000052,Antrim and Newtownabbey,234.27,7.98,Antrim_F2,501,234.27,2.1385917968227885
N20000053,Antrim and Newtownabbey,14.98,1.9,Antrim_E2,408,14.98,27.240831084307047
N20000054,Antrim and Newtownabbey,29.89,2.3,Antrim_D4,517,29.89,17.297306807352783
N20000055,Antrim and Newtownabbey,9.22,1.49,Antrim_E3,336,9.22,36.43419882309511
N20000056,Antrim and Newtownabbey,8.85,1.42,Antrim_E4,483,8.85,54.59989520380984
N20000057,Antrim and Newtownabbey,18.34,1.9,Antrim_G2,465,18.34,25.351678503970486
N20000058,Antrim and Newtownabbey,4.86,0.92,Antrim_H1,415,4.86,85.31815646193503
N20000059,Antrim and Newtownabbey,18.96,2.07,Antrim_F3,413,18.96,21.77939662037848
N20000060,Antrim and Newtownabbey,5.94,1.22,Antrim_J1,355,5.94,59.79861227179726
N20000061,Antrim and Newtownabbey,12.83,1.93,Antrim_H2,382,12.83,29.771697661666007
N20000062,Antrim and Newtownabbey,12.55,1.47,Antrim_H3,597,12.55,47.5510574387821
N20000063,Antrim and Newtownabbey,39.47,3.51,Antrim_G3,354,39.47,8.969408231290872
N20000064,Antrim and Newtownabbey,9.0,1.45,Antrim_J2,391,9.0,43.463872535167354
N20000065,Antrim and Newtownabbey,15.92,2.09,Antrim_J3,491,15.92,30.84574028809294
N20000066,Antrim and Newtownabbey,8.02,1.43,Antrim_K1,325,8.02,40.50982088976761
N20000067,Antrim and Newtownabbey,15.49,1.85,Antrim_K2,521,15.49,33.6301138624847
N20000068,Antrim and Newtownabbey,9.62,1.33,Antrim_G4,423,9.62,43.98948315734622
N20000069,Antrim and Newtownabbey,10.95,1.69,Antrim_L1,461,10.95,42.0832113406763
