LGD2014NAME,2015 Default Urban/Rural,SA2011,SOA2001_name,Multiple Deprivation Measure Rank,Income Domain Rank,Employment Domain Rank,Health Deprivation and Disability Domain Rank,"Education, Skills and Training Domain Rank",Access to Services Domain Rank,Living Environment Domain Rank,Crime and Disorder Domain Rank,Proportion of the population living in households whose equivalised income is below 60 per cent of the NI median,Proportion of the working age population who are employment deprived,Religion: Catholic,Religion: Presbyterian Church in Ireland,Religion: Church of Ireland,Religion: Methodist Church in Ireland,Religion: Other Christian (including Christian related),Religion: Other religions,Religion: No religion,Religion: Religion not stated,Religion: Catholic (%),Religion: Presbyterian Church in Ireland (%),Religion: Church of Ireland (%),Religion: Methodist Church in Ireland (%),Religion: Other Christian (including Christian related) (%),Religion: Other religions (%),Religion: No religion (%),Religion: Religion not stated (%),Area_Code,MYE,centre_x,centre_y,Type of long-term condition: Deafness or partial hearing loss (%),Type of long-term condition: Blindness or partial sight loss (%),Type of long-term condition: Communication difficulty (%),Type of long-term condition: A mobility or dexterity difficulty (%),"Type of long-term condition: A learning, intellectual, social or behavioural difficulty (%)","Type of long-term condition: An emotional, psychological or mental health condition (%)",Type of long-term condition: Long-term pain or discomfort (%),Type of long-term condition: Shortness of breath or difficulty breathing (%),Type of long-term condition: Frequent periods of confusion or memory loss (%),Type of long-term condition: A chronic illness (%),Type of long-term condition: Other condition (%),Type of long-term condition: No condition (%)
Belfast,Urban,N00000996,Bloomfield_2,3352,3910,2069,2611,3851,4107,520,1967,0.07,0.2,49,109,60,27,36,3,77,22,12.79,28.46,15.67,7.05,9.4,0.78,20.1,5.74,N00000996,350,-5.8790720233926015,54.59338368552161,5.22,3.13,3.13,10.44,9.4,8.09,6.79,6.01,3.66,7.31,5.48,63.45
Belfast,Urban,N00000997,Bloomfield_2,3617,2582,3487,4322,4376,4384,180,1765,0.12,0.12,33,55,40,19,51,4,47,22,12.18,20.3,14.76,7.01,18.82,1.48,17.34,8.12,N00000997,287,-5.879170785112679,54.59535316140443,4.43,1.48,0.74,5.17,1.85,2.21,4.06,4.06,1.11,8.49,2.21,76.75
Belfast,Urban,N00000998,Bloomfield_2,3533,2302,3825,3334,2706,4302,1732,1616,0.12,0.11,36,70,49,24,26,10,71,18,11.84,23.03,16.12,7.89,8.55,3.29,23.36,5.92,N00000998,294,-5.883489358772983,54.59413493025419,5.92,1.64,0.33,10.86,0.66,4.61,5.92,5.26,0.33,5.59,4.28,74.01
Belfast,Urban,N00000999,Bloomfield_2,1385,1630,1441,1269,1449,4383,145,522,0.15,0.26,20,49,41,19,11,3,50,34,8.81,21.59,18.06,8.37,4.85,1.32,22.03,14.98,N00000999,230,-5.885729135324521,54.59421003362237,6.61,1.76,1.76,15.86,2.2,8.81,16.3,11.45,3.08,6.61,3.08,62.11
Belfast,Urban,N00001000,Bloomfield_2,3997,4117,3519,3067,2863,3454,1585,3393,0.06,0.12,23,73,51,28,50,1,55,26,7.49,23.78,16.61,9.12,16.29,0.33,17.92,8.47,N00001000,302,-5.881636478293077,54.591973024706505,6.19,1.95,0.98,12.05,1.3,6.51,8.79,7.17,1.63,9.45,6.19,66.45
Belfast,Urban,N00001001,Bloomfield_3,1622,2559,1973,1938,660,4306,96,483,0.12,0.21,44,60,24,17,40,13,59,39,14.86,20.27,8.11,5.74,13.51,4.39,19.93,13.18,N00001001,327,-5.884926497970566,54.59238100885711,3.38,2.03,0.68,9.46,1.35,8.78,11.49,8.11,0.68,9.46,5.07,68.58
Belfast,Urban,N00001002,Bloomfield_3,1680,1926,1631,1306,1496,4063,581,645,0.14,0.23,109,163,137,47,79,8,153,100,13.69,20.48,17.21,5.9,9.92,1.01,19.22,12.56,N00001002,771,-5.886468817831468,54.590386310219486,3.89,2.01,1.13,11.43,2.64,9.42,11.68,12.31,3.27,7.66,5.78,65.2
Belfast,Urban,N00001003,Bloomfield_3,1659,593,2700,1942,2165,3976,601,1400,0.19,0.16,13,53,47,5,26,1,57,16,5.96,24.31,21.56,2.29,11.93,0.46,26.15,7.34,N00001003,192,-5.883864678760233,54.591374076286165,2.29,0.92,0.92,5.96,1.83,6.88,6.88,9.17,0.46,4.13,2.29,72.48
Belfast,Urban,N00001004,Bloomfield_3,1088,702,1747,2043,512,4429,655,530,0.19,0.23,43,76,29,10,38,9,75,23,14.19,25.08,9.57,3.3,12.54,2.97,24.75,7.59,N00001004,280,-5.886456111577073,54.59272222061317,4.29,1.98,0.66,14.85,1.32,5.28,11.22,8.91,2.31,6.6,5.94,67.0
Belfast,Urban,N00001005,Bloomfield_3,855,988,805,816,993,4251,1451,213,0.17,0.33,28,56,48,11,25,2,61,27,10.85,21.71,18.6,4.26,9.69,0.78,23.64,10.47,N00001005,246,-5.8858617269281135,54.591651590398136,9.3,3.49,1.94,16.28,3.49,12.79,15.12,12.02,5.04,10.85,6.98,58.53
